max_value,0.3937
num_nodes,38
index_set,191
mean_value,0.139026
std_value,0.05919388215010061

experiment,mnist,lr_cnn,n_conv,som_in,max_pool,max_pool2d_size,filters_pow,kernel_size,n_max,at,eb,ds_beta,eps_ds,epochs,seed
228,0.1135228,0.09460054,2,18,0,2,4,3,194,0.719734,0.000199,0.271458,0.06094,156,100400
229,0.1135229,0.09540046,3,15,1,4,6,5,39,0.921858,0.0031294,0.199602,0.02278,119,91601
230,0.1135230,0.029007099999999997,4,89,1,4,6,7,165,0.705382,0.0076042,0.48503,0.09298,157,116400
231,0.1135231,0.06860314,3,10,0,3,3,7,166,0.70299,0.0052282,0.481038,0.0109,180,178800
232,0.1135232,0.015008500000000001,2,3,1,4,4,5,200,0.9027219999999999,0.002179,0.003994,0.04942,121,82801
233,0.1135233,0.0230077,5,53,1,3,6,5,131,0.76279,0.0061786,0.301398,0.01702,175,47601
234,0.1135234,0.08980102,3,43,1,3,4,5,22,0.8261780000000001,0.0093862,0.34531,0.06238,123,131600
235,0.1135235,0.08180182,2,80,0,3,4,7,31,0.813022,0.006732999999999999,0.149702,0.03574,145,30001
236,0.2232236,0.00740926,4,126,0,3,3,7,118,0.913486,0.0005554,0.44511000000000006,0.06562,97,153200
237,0.3447237,0.0010099,4,87,0,4,4,7,83,0.7532220000000001,0.0020602,0.10778599999999999,0.08938,91,143600
238,0.1135238,0.02020798,3,82,0,3,4,5,144,0.8788020000000001,0.008911,0.49900200000000006,0.056979999999999996,188,166800
239,0.2055239,0.0590041,3,97,1,3,3,3,23,0.89435,0.0085546,0.063874,0.0865,78,110800
240,0.1135240,0.01020898,3,10,0,2,5,5,49,0.78671,0.004832199999999999,0.319362,0.0379,143,177200
241,0.1135241,0.04580542,2,96,1,2,4,3,69,0.9649139999999999,0.0055450000000000004,0.20758600000000002,0.05086,198,46001
242,0.1275242,0.03460654,3,66,1,3,3,7,34,0.9481700000000001,0.000793,0.137726,0.043660000000000004,163,102000
243,0.1135243,0.0630037,2,86,1,3,4,5,172,0.8381379999999999,0.0089902,0.089822,0.04618,154,174800
244,0.35244,0.05740426,2,88,0,4,6,7,181,0.95415,0.0009118,0.399202,0.02458,162,159600
245,0.1454245,0.0950005,5,26,1,4,5,7,67,0.895546,0.0086734,0.193614,0.0775,127,123600
246,0.1135246,0.049005099999999996,3,110,0,3,3,3,168,0.8548819999999999,0.0092278,0.033934,0.01594,182,94801
247,0.1136247,0.0710029,3,62,0,3,5,3,149,0.8740180000000001,0.008317,0.151698,0.01738,148,194000
248,0.1135248,0.03660634,5,44,0,3,4,7,15,0.70897,0.008831799999999999,0.353294,0.02314,127,95601
249,0.2939249,0.01580842,2,42,0,3,5,3,184,0.938602,0.0090298,0.035930000000000004,0.01414,113,86801
